Transition_ID	Relation	Left	Right
T746	phos	814	90993
T747	deph	54434	57175
T748	phos	7474	8324
T749	phos	157	128368
T750	phos	1196	11190
T751	deph	5516	5599
T752	deph	5500	2905
T753	phos	5595	6720
T754	phos	5568	785
T755	deph	5516	5578
T756	deph	5533	1827
T757	phos	5292	9506
T758	phos	5580	58494
T759	phos	5595	6689
T760	phos	5293	207
T761	phos	1196	80095
T762	phos	8444	7507
T763	deph	5496	8342
T764	deph	5500	4636
T765	deph	1843	5594
T766	phos	5567	2785
T767	phos	4352	7297
T768	phos	3784	5568
T769	phos	6794	4140
T770	phos	55681	302
T771	phos	51086	2274
T772	phos	5599	4691
T773	phos	5568	116443
T774	phos	5601	995
T775	phos	6197	4893
T776	phos	85366	103910
T777	phos	5594	1050
T778	phos	5568	492
T779	phos	1457	3059
T780	deph	55844	784
T781	phos	1147	3667
T782	phos	8798	7458
T783	phos	5583	2017
T784	phos	11200	11178
T785	phos	51086	4775
T786	phos	5613	995
T787	deph	5501	207
T788	phos	1020	84307
T789	deph	5500	1454
T790	phos	1453	7019
T791	phos	89780	8326
T792	phos	53944	2737
T793	phos	7525	2023
T794	phos	2770	5600
T795	phos	157	343406
T796	deph	1847	5601
T797	phos	5567	84699
T798	phos	4751	6426
T799	phos	5563	1936
T800	phos	5578	48
T801	deph	5527	9254
T802	phos	207	3164
T803	phos	9263	5094
T804	deph	5534	51529
T805	phos	4085	29945
T806	phos	1326	1147
T807	deph	5501	8358
T808	phos	10000	1385
T809	phos	4921	2017
T810	deph	5500	116444
T811	phos	6300	2353
T812	phos	1196	23676
T813	phos	2869	10803
T814	phos	80326	11211
T815	phos	1019	55796
T816	phos	4882	7726
T817	phos	6195	699
T818	phos	2011	11178
T819	phos	57410	54487
T820	phos	5566	9254
T821	phos	9263	84991
T822	phos	5601	1326
T823	phos	2868	1233
T824	phos	6198	8853
T825	phos	10459	996
T826	phos	5058	8576
T827	phos	5613	84152
T828	deph	5516	4609
T829	phos	55872	4194
T830	phos	29110	10273
T831	deph	1844	1432
T832	phos	157	138804
T833	phos	1020	10848
T834	phos	5058	4654
T835	phos	5598	5607
T836	phos	5566	64764
T837	phos	8445	7428
T838	phos	5058	84254
T839	phos	7472	7976
T840	phos	5594	255189
T841	phos	3784	5567
T842	phos	3716	6773
T843	deph	4659	4633
T844	phos	9263	5901
T845	phos	815	55799
T846	phos	91807	10398
T847	phos	7048	10848
T848	phos	157	338755
T849	deph	5515	6885
T850	phos	207	5566
T851	phos	7048	1407
T852	deph	79660	51806
T853	phos	2690	3718
T854	deph	5496	8330
T855	deph	5801	5602
T856	phos	4893	5594
T857	phos	8550	9391
T858	phos	1457	8725
T859	phos	2049	3190
T860	phos	8445	1809
T861	phos	157	219477
T862	phos	7480	8321
T863	phos	898	10393
T864	phos	657	55616
T865	deph	5515	1409
T866	phos	3581	3718
T867	phos	11200	3978
T868	deph	5500	9611
T869	phos	131890	2829
T870	phos	8576	5566
T871	phos	3984	1072
T872	deph	248	8969
T873	phos	6198	581
T874	phos	6198	64410
T875	phos	9252	5594
