kinase (phosphatase)	phos/deph	substrate
1432	phos	1386
1457	phos	7421
7465	phos	81628
4233	phos	5566
5563	phos	5599
9263	phos	7514
204851	phos	660
2931	phos	84365
695	phos	4775
1457	phos	11140
2260	phos	302
5599	phos	8805
204851	phos	1111
55681	phos	1192
5597	phos	1104
5599	phos	322
2185	phos	7041
5058	phos	396
5595	phos	8569
1195	phos	7428
4067	phos	3190
84254	phos	29118
57761	phos	84254
207	phos	79753
699	phos	7515
1018	phos	2017
29904	phos	572
54899	phos	5579
1455	phos	7791
9891	phos	839
1459	phos	6663
5058	phos	3978
4751	phos	27254
10645	phos	5127
156	phos	5148
5594	phos	5321
5871	phos	10273
8798	phos	7812
699	phos	91661
1457	phos	7448
5600	phos	26959
2042	phos	11178
6416	phos	6224
90	phos	11035
2011	phos	7295
7048	phos	5687
29110	phos	867
5590	phos	5687
1198	phos	10848
9263	phos	58158
3654	phos	1459
6733	phos	29118
9263	phos	5687
6196	phos	8853
1457	phos	4205
9212	phos	7431
660	phos	7428
5597	phos	10611
814	phos	109
5616	phos	867
9943	phos	5906
147746	phos	3059
10783	phos	10524
2534	phos	4776
56924	phos	55269
1195	phos	10848
7465	phos	56339
7465	phos	4776
5599	phos	6625
1020	phos	2268
8428	phos	10783
1019	phos	10073
1022	phos	64859
6792	phos	79050
1022	phos	86614
3611	phos	81706
4752	phos	4193
1454	phos	94104
816	phos	11035
6885	phos	127933
5578	phos	4708
5058	phos	5223
9263	phos	10290
1457	phos	3320
6733	phos	6426
29110	phos	3315
5595	phos	800
1326	phos	5605
9149	phos	162655
1457	phos	8048
10783	phos	143471
1021	phos	5316
5566	phos	25824
5584	phos	4194
6789	phos	5187
51086	phos	25771
5594	phos	8648
695	phos	23676
1019	phos	10011
5602	phos	2113
5563	phos	5566
207	phos	81608
207	phos	1025
1022	phos	55596
4751	phos	5687
5602	phos	4193
6885	phos	6118
6195	phos	5506
2011	phos	11238
5058	phos	55596
1457	phos	91661
5616	phos	6945
3932	phos	2099
55872	phos	11244
5563	phos	10980
9212	phos	3059
5058	phos	1616
1022	phos	4089
4751	phos	5501
9263	phos	60313
5566	phos	9904
5584	phos	9775
8798	phos	56478
2534	phos	5598
6792	phos	10472
5894	phos	6301
4145	phos	4188
6199	phos	2113
7465	phos	2128
1457	phos	994
10645	phos	5289
11200	phos	993
5594	phos	6654
53904	phos	3141
699	phos	51808
2263	phos	867
7048	phos	55269
640	phos	2213
6792	phos	10011
8444	phos	3978
9212	phos	55796
90	phos	56957
9263	phos	7072
5580	phos	25937
5578	phos	2764
1022	phos	6118
1326	phos	84254
11040	phos	7791
11329	phos	9775
55872	phos	10848
1022	phos	55746
5580	phos	3985
4882	phos	7726
1020	phos	64410
695	phos	5518
1019	phos	4176
8986	phos	8607
2869	phos	23294
1019	phos	9203
2869	phos	55616
6198	phos	3190
10783	phos	3141
11200	phos	23676
1457	phos	5601
5604	phos	4752
1457	phos	7454
5601	phos	11100
1459	phos	11244
1457	phos	8805
695	phos	7791
5747	phos	2268
658	phos	2869
7272	phos	1965
1457	phos	7088
51231	phos	167826
6792	phos	60313
83931	phos	25898
5616	phos	4088
1196	phos	10657
1025	phos	23244
7465	phos	91442
9263	phos	22864
3717	phos	6772
92	phos	2768
5058	phos	728461
816	phos	5566
2263	phos	10856
5594	phos	2932
6788	phos	7428
1432	phos	8048
5578	phos	1956
7443	phos	7515
6196	phos	8607
5594	phos	2353
1432	phos	3141
8550	phos	140809
6850	phos	5929
5599	phos	5518
10188	phos	9112
5616	phos	7514
2185	phos	7430
4751	phos	8805
7465	phos	57122
147746	phos	6663
8550	phos	1975
1020	phos	3280
5580	phos	7529
5347	phos	5300
5594	phos	2077
4117	phos	867
9263	phos	10594
5058	phos	79844
4752	phos	7798
10298	phos	2017
6196	phos	10741
5562	phos	11035
5599	phos	4869
1195	phos	6732
6850	phos	11059
7048	phos	7791
7048	phos	4092
1457	phos	9616
7525	phos	7314
9201	phos	5567
1459	phos	3978
1454	phos	5511
57761	phos	56957
6198	phos	3297
1021	phos	7791
7301	phos	602
6197	phos	2353
5601	phos	9479
5595	phos	3667
5578	phos	6000
5567	phos	55796
5292	phos	1831
84254	phos	3661
6733	phos	1975
2534	phos	2533
7297	phos	3454
5566	phos	1616
84254	phos	602
51086	phos	56980
29110	phos	94104
147746	phos	6945
2534	phos	3708
6196	phos	4776
2260	phos	6197
9149	phos	2077
225689	phos	867
1454	phos	55796
207	phos	6046
79858	phos	745
780	phos	9112
2268	phos	4869
6794	phos	9667
6885	phos	5906
3717	phos	2057
91754	phos	6945
9252	phos	5580
55681	phos	5594
156	phos	572
139728	phos	7535
5616	phos	4188
3654	phos	6774
4752	phos	56980
204851	phos	5580
1020	phos	7515
4752	phos	23676
55681	phos	5315
3611	phos	4666
6732	phos	6426
4882	phos	54962
2869	phos	154
3551	phos	5970
55872	phos	5519
1454	phos	55616
1457	phos	715
51086	phos	581
1454	phos	8725
699	phos	10450
2049	phos	5580
6196	phos	4673
6792	phos	23283
8986	phos	10848
5595	phos	6868
29110	phos	5594
5566	phos	867
695	phos	1114
8445	phos	26528
84254	phos	1195
207	phos	1647
8576	phos	5687
4067	phos	6004
6195	phos	8805
2264	phos	2017
2534	phos	6504
7048	phos	660
5563	phos	10073
1432	phos	836
5292	phos	9506
6850	phos	29760
9263	phos	57118
6197	phos	6118
2264	phos	11183
7048	phos	64151
2185	phos	2017
4882	phos	5831
1019	phos	84107
7048	phos	5702
90	phos	11059
5590	phos	51567
1020	phos	7791
2268	phos	7535
7048	phos	602
84254	phos	27254
8798	phos	22950
1021	phos	55796
6795	phos	745
1454	phos	83541
5616	phos	3661
207	phos	6256
5600	phos	8550
6789	phos	9112
8445	phos	7726
7465	phos	6625
10188	phos	1455
5578	phos	6693
8798	phos	23589
4752	phos	94104
695	phos	22950
51231	phos	84107
2444	phos	10856
5753	phos	5573
1019	phos	54514
5578	phos	5777
2263	phos	1398
2263	phos	91661
5170	phos	6945
9263	phos	147808
1019	phos	8099
5747	phos	10848
7272	phos	5929
5058	phos	3984
5058	phos	2099
8798	phos	11165
1432	phos	4208
4882	phos	94104
5170	phos	51008
6885	phos	4188
2260	phos	9213
658	phos	6945
6794	phos	23235
695	phos	4088
156	phos	2017
30849	phos	84254
340371	phos	867
9252	phos	127933
55872	phos	9112
5871	phos	3141
55359	phos	2768
1022	phos	4760
5871	phos	10963
5058	phos	9775
5588	phos	9112
7535	phos	9112
660	phos	9322
3717	phos	55746
11183	phos	10273
2268	phos	9322
6792	phos	5725
1452	phos	6622
6850	phos	10155
5058	phos	80333
5566	phos	4188
2264	phos	7791
10783	phos	4194
3932	phos	6464
7301	phos	660
5595	phos	2120
5580	phos	2077
166614	phos	56957
147746	phos	65056
1022	phos	867
3932	phos	54984
2931	phos	8853
51231	phos	100506164
3654	phos	1111
5601	phos	4193
5594	phos	2268
7048	phos	2274
4752	phos	3059
84254	phos	23676
5578	phos	5037
7465	phos	602
7465	phos	6118
2011	phos	7760
8986	phos	3141
5599	phos	7341
1021	phos	4188
4067	phos	9103
147746	phos	84254
9263	phos	65056
695	phos	6300
5578	phos	7812
207	phos	10848
8576	phos	7428
1195	phos	57573
65125	phos	9943
1455	phos	3141
5563	phos	9203
659	phos	51701
5599	phos	25946
93	phos	5579
2268	phos	51008
8550	phos	8048
8798	phos	10856
10000	phos	10667
5580	phos	3059
5894	phos	7458
5610	phos	5347
6416	phos	7329
1457	phos	5788
9263	phos	6118
6733	phos	4188
2268	phos	10657
5595	phos	6776
2931	phos	6426
4882	phos	1956
2011	phos	147929
6789	phos	56957
780	phos	80095
1022	phos	25898
6198	phos	22916
4067	phos	2057
2268	phos	8805
11200	phos	4193
207	phos	2113
983	phos	7791
10298	phos	9112
55681	phos	83988
8798	phos	9733
1457	phos	3066
2931	phos	898
65018	phos	84254
156	phos	3269
658	phos	84254
3717	phos	2869
1195	phos	6118
658	phos	1455
10783	phos	94104
7048	phos	7262
1021	phos	10273
6196	phos	4435
5602	phos	5580
2534	phos	7041
54861	phos	80095
5563	phos	84254
660	phos	10948
8576	phos	5204
85366	phos	5519
6197	phos	5518
8576	phos	8805
9263	phos	81608
7048	phos	326
5602	phos	55616
9252	phos	140809
6198	phos	8871
6850	phos	2185
57761	phos	4776
6788	phos	3141
5578	phos	5331
8569	phos	6945
369	phos	10691
1457	phos	207
5594	phos	9126
57761	phos	5580
5594	phos	5887
9212	phos	867
6195	phos	10273
5584	phos	83714
1019	phos	5702
5170	phos	25771
1021	phos	8607
1021	phos	10848
4752	phos	378708
6795	phos	5326
